Rank,Year,Title,Artist,Spotify_ID
47,2023,Next Thing You Know,Jordan Davis,39OclE5hZematADrdfaWvE
48,2023,Escapism,RAYEFeaturing070 Shake,
49,2023,Un x100to,Grupo FronteraXBad Bunny,
50,2023,Until I Found You,Stephen Sanchez,6VhuP99TE6gYNQRJIlAWFD
51,2023,Shirt,SZA,2wSTnntOPRi7aQneobFtU4
52,2023,Paint The Town Red,Doja Cat,2IGMVunIBsBLtEQyoI1Mu7
53,2023,Made You Look,Meghan Trainor,0QHEIqNKsMoOY5urbzN48u
54,2023,Wait In The Truck,HARDYFeaturingLainey Wilson,
55,2023,All I Want For Christmas Is You,Mariah Carey,0bYg9bo50gSsH3LtXe2SQn
56,2023,Everything I Love,Morgan Wallen,6k7vV1OGewIoqEmUg3L7Am
57,2023,Chemical,Post Malone,5w40ZYhbBMAlHYNDaVJIUu
58,2023,Heart Like A Truck,Lainey Wilson,5DIBVDJOHh7djepAjKHWCO
59,2023,"Going, Going, Gone",Luke Combs,67AdiJcurlf6gocGobfaXs
60,2023,Rockin' Around The Christmas Tree,Brenda Lee,2EjXfH91m7f8HiJN1yQg97
61,2023,Dancin' In The Country,Tyler Hubbard,2KtGiBi5CrX2ERPD2PAS34
62,2023,Daylight,David Kushner,5OGZ2Mx4Cs6RCndDRycGBJ
63,2023,Lift Me Up,Rihanna,35ovElsgyAtQwYPYnZJECg
64,2023,Eyes Closed,Ed Sheeran,3p7XQpdt8Dr6oMXSvRZ9bg
65,2023,TQG,Karol GxShakira,
66,2023,Try That In A Small Town,Jason Aldean,5BqI4ugJL5WaPRQ6MlC8Ho
67,2023,Tennessee Orange,Megan Moroney,6DLbBlGIOjjEj0dNN25zhZ
68,2023,Jingle Bell Rock,Bobby Helms,7vQbuQcyTflfCIOu3Uzzya
69,2023,Princess Diana,Ice Spice&Nicki Minaj,0ZxhtATQ0a6EvQNZ0z6NKV
70,2023,Tomorrow 2,Glorilla&Cardi B,0WNfQxDGaPTl0yogcMR5v1
71,2023,A Holly Jolly Christmas,Burl Ives,77khP2fIVhSW23NwxrRluh
72,2023,Where She Goes,Bad Bunny,7ro0hRteUMfnOioTFI5TG1
73,2023,Bebe Dame,Fuerza RegidaXGrupo Frontera,
74,2023,I Remember Everything,Zach BryanFeaturingKacey Musgraves,
75,2023,I Like You (A Happier Song),Post MaloneFeaturingDoja Cat,
76,2023,What It Is (Block Boy),DoechiiFeaturingKodak Black,
77,2023,Nobody Gets Me,SZA,5Y35SjAfXjjG0sFQ3KOxmm
78,2023,Rich Men North Of Richmond,Oliver Anthony Music,78Du4CMFgnhdlG33gblkiP
79,2023,Super Freaky Girl,Nicki Minaj,2yjlYDiNiQkdxVqTlaSrlX
80,2023,Dial Drunk,Noah KahanWithPost Malone,
81,2023,What Was I Made For?,Billie Eilish,6wf7Yu7cxBSPrRlWeSeK0Q
82,2023,Seven,Jung KookFeaturingLatto,
83,2023,Wait For U,FutureFeaturingDrake&Tems,
84,2023,Last Christmas,Wham!,2FRnf9qhLbvw8fu4IBXx78
85,2023,Handle On You,Parker McCollum,4reXo2zg1uhEIpUAacDb9C
86,2023,Por Las Noches,Peso Pluma,6YWME4xCa5Lm6X1exVMQIC
87,2023,Memory Lane,Old Dominion,1nrgBXtczBXNSlqIezjwbR
88,2023,Area Codes,Kaliii,7sliFe6W30tPBPh6dvZsIH
89,2023,Bury Me In Georgia,Kane Brown,4EKH0ajMHXTkq4ztWuztVH
90,2023,PRC,Peso PlumaXNatanael Cano,
91,2023,What My World Spins Around,Jordan Davis,6vjZxvzdAeHp7jv3R398Xm
92,2023,Ain't That Some,Morgan Wallen,1rFH4TZS38gkcLcW02bEm7
93,2023,Wild As Her,Corey Kent,3kXH9BQq0TyNliiP1MIE6N
94,2023,Peaches & Eggplants,Young Nudy Featuring21 Savage,
95,2023,I Wrote The Book,Morgan Wallen,55uX7uGvi9LNkIcY087lYy
96,2023,"Bzrp Music Sessions, Vol. 53",Bizarrap &Shakira,4nrPB8O7Y7wsOCJdgXkthe
97,2023,Meltdown,Travis ScottFeaturingDrake,
98,2023,Put It On Da Floor Again,LattoFeaturingCardi B,
99,2023,Bloody Mary,Lady Gaga,11BKm0j4eYoCPPpCONAVwA
100,2023,Watermelon Moonshine,Lainey Wilson,3sYBFUXTv0STUoUINx9Qe8
