Rank,Year,Title,Artist,Lyrics,Lyric_Neg,Lyric_Neu,Lyric_Pos,Lyric_Compound
82,2015-01-01,Tuesday,I Love MakonnenFeaturingDrake,,,,,
83,2015-01-01,Hit The Quan,iLoveMemphis,"Yeah (Yeah)
Bah, uh, yeah (Hey, Buck Nasty, I like your beat)
Ah, ayy, wait 'til they feel me (I ain't wastin' no time tonight, man)
I finna, I finna, finna show you how to

Hit the Quan, hit the Quan, hit the Quan, hit the Quan
I said get down low and swing your arm
I said get down low and hit the Quan
I'm finna show you how to
Hit the Quan, hit the Quan, hit the Quan, hit the Quan
I said get down low and swing your arm
I said get down low and hit the Quan

I paper chase, then vanish
Hit the Quan on her, make her boyfriend panic
IHeartMemphis, but I also love dancing
I done took off on 'em, I don't plan on landing
I call shots, 'Just Do It' like Nike
No FaceTime, but the people want to Skype me
If I do time, then who would really write me?
I stay on y'all mind but, ""Oh, I think they like me""
Clean pair of sneaks with a designer belt
Please watch your step, 'cause I'm feeling myself
Throw a flag on the play, man, somebody get the ref
Go, ""Blah-la-la-la-low,"" man, somebody get some help
Pulled up on the block

Hit the Quan, hit the Quan, hit the Quan, hit the Quan
I said get down low and swing your arm
I said get down low and hit the Quan
I'm finna show you how to
Hit the Quan, hit the Quan, hit the Quan, hit the Quan
I said get down low and swing your arm
I said get down low and hit the Quan

Pull-Pull-Pull up on the block and do the dance like crazy
This chick is hella hot, but I know this chick crazy
If I think she not, then that makes me crazy
We are both thots so we are both crazy
Flex-Flexing always on my agenda
Your whole team rats, your CEO is Master Splinter
'Bout to hit the Quan and turn that girl into a member
Now my whole team flexing, I think we got a winner
People want to dap it up but they can't get none from me
I went to jail and snap it up, at least I had bum money
People wanna walk around me, tryna steal my lingo
Just make sure when you talk about me, you say he's doing his thing, though

Hit the Quan, hit the Quan, hit the Quan, hit the Quan
I said get down low and swing your arm
I said get down low and hit the Quan
I'm finna show you how to
Hit the Quan, hit the Quan, hit the Quan, hit the Quan
I said get down low and swing your arm
I said get down low and hit the Quan",0.116,0.789,0.094,-0.8464
84,2015-01-01,Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel,Kool Moe Dee&Grandmaster Caz","I went to the moped store, said ""Fuck it""
And salesman's like ""What up, what's your budget?""
And I'm like ""Honestly, I don't know nothing about mopeds""
He said ""I got the one for you, follow me""
Ooh, it's too real
Chromed out mirror, I don't need a windshield
Banana seat, a canopy on two wheels
Eight hundred cash, that's a hell of a deal
I'm headed...

Downtown, cruising through the alley
Tip-toeing in the street like ballet
Pulled up, moped to the valet
White walls on the wheels like mayonnaise
Dope, my crew is ill
And all we need is two good wheels
Got gas in the tank, cash in the bank
And a bad little mama with her ass in my face
I'ma lick that, stick that, break her off, Kit-Kat
Snuck her in backstage, you don't need a wristband
Dope

Killing the game, 'bout to catch a body
Passed the Harley, Dukie on the Ducati
Timbaland, Khaled, Scott Storch, Birdman
Goddamn, man, everybody got Bugattis
But I'ma keep it hella 1987
Head into the dealership and drop a stack and cop a Kawasaki
I'm stunting on everybody, hella raw, pass the Wasabi
I'm so low that my scrotum's almost dragging up on the concrete
My seat is leather, alright, I'm lying, it's pleather
But girl, we could still ride together, oh
You don't need an Uber, you don't need a cab
Fuck a bus pass, you got a moped, man
She got 1988 Mariah Carey hair
Very rare, mom jeans on her derriere
Throwing up the West Side as we tear in the air
Stop by Pike Place, throwing fish to a player

Downtown, downtown (Downtown)
Downtown, downtown (Downtown)
She has her arms around your waist
With a balance that will keep her safe (Downtown)
Have you ever felt the warm embrace (Downtown)
Of a leather seat between your legs
Hey, hey-oh-ey-ey
Hey, hey-oh-ey-ey
Hey, hey-oh-ey-ey
Hey, hey-oh-ey-ey

Downtown
You don't want no beef, boy
Know I run the streets, boy
Better follow me towards
Downtown
What you see is what you get, girl
Don't ever forget, girl
Ain't seen nothing yet until you're
Downtown

Dope
Cut the bullshit, get off my mullet
Stone washed, so raw, moped like a bullet
Oh, yee-ow, you can't catch me
A po-po can't reprimand me
I'm in a B-Boy stance, I'm not dancing
I got your girl on the back going tandem
Cause I'm too damn quick, I'm too damn slick
Whole downtown yelling out ""Who that is?""

It's me, the M, the A-C, the K
Sounding like a French pimp from back in the day
I take her to Pend Oreille and I water skate
I mean, water ski, ollie, ollie, oxen free
I'm perusing down Fourth and they watching me
I do a headstand, the eagle lands on my seat
Well hello, but baby, the kickstand ain't free
Now do you or do you not wanna ride with me?
I got one girl, I got two wheels
She a big girl, but ain't a big deal
I like a big girl, I like 'em sassy
Going down the backstreet listening to Blackstreet
Running around the whole town
Neighbors yelling at me like, ""You need to slow down""
""Going thirty-eight, Dan, chill the fuck out
Mow your damn lawn and sit the hell down""
If I only had one helmet, I would give it to you, give it to you
Cruising down Broadway, girl, what a wonderful view, wonderful view
There's layers to this shit, player, tiramisu, tiramisu
Let my coat-tail drag but I ain't tearing my suit, tearing my suit

Downtown, downtown (Downtown)
Downtown, downtown
She has her arms around your waist
With a balance that will keep her safe
Have you ever felt the warm embrace
Of a leather seat between your legs

Downtown
You don't want no beef, boy
Know I run the streets, boy
Better follow me towards
Downtown
What you see is what you get, girl
Don't ever forget, girl
Ain't seen nothing yet until you're
Downtown

You don't want no beef, boy
Know I run the streets, boy
Better follow me towards
Downtown
What you see is what you get, girl
Don't ever forget, girl
Ain't seen nothing yet until you're
Downtown",0.098,0.783,0.119,0.9224
85,2015-01-01,House Party,Sam Hunt,"You're on the couch, blowin' up my phone
You don't wanna come out, but you don't wanna be alone
It don't take but two to have a little soiree
If you're in the mood, sit tight right where you are, babe

'Cause I'll be at your door in ten minutes
Whatever you got on, girl, stay in it
You ain't gotta leave the house to have a good time
I'ma bring the good time home to you

We'll have a house party, we don't need nobody
Turn your TV off, break that boombox out
We'll wake up all the neighbors 'til the whole block hates us
And the cops show up and try to shut us down

If you're gonna be a homebody
We're gonna have a house party
If you wanna be a homebody
We're gonna have a house party

Throw a neon t-shirt over the lamp shade
I'll take the furniture, slide it out of the way
Shakin' the floor, rattlin' the roof
We'll go to town right there in your living room

Let's have a house party, we don't need nobody
Turn your TV off, break that boombox out
We'll wake up all the neighbors til the whole block hates us
And the cops will show up and try to shut us down

If you're gonna be a homebody
We're gonna have a house party
If you wanna be a homebody
We're gonna have a house party

So I'll be at your door in ten minutes
Whatever you got on, baby, stay in it
You ain't gotta leave the house to have a good time
I'ma bring the good time home to you

We'll have a house party, we don't need nobody
Turn your TV off, break that boombox out
We'll wake up all the neighbors 'til the whole block hates us
And the cops will show up and try to shut us down

If you're gonna be a homebody
We're gonna have a house party
If you wanna be a homebody
We're gonna have a house party",0.062,0.8,0.138,0.9794
86,2015-01-01,Ayo,Chris Brown&Tyga,"Eu preciso de você, eu preciso de você
Eu preciso de você, eu preciso de você
Eu preciso de você, eu preciso de você (Deixa eu ver)
Eu preciso de você, eu preciso de você

Nós aparecemos tipo ayo
Todas as minhas vadias tem cabelo de verdade relaxando com o teto pra baixo
Gritando tipo ayo
Eu vou pegar a bunda dela se ela trouxer a amiga
Fodendo as duas tipo ayo
Eu sou um mano burguês, deixei o teto em casa
Nós aparеcemos tipo ayo
Ayo, ayo
Mas não fique agindo como se еu precisasse de você

Ha!
Ayy, gata, esse é o meu novo esquema (Esquema)
Eu sou o Riquinho negro com o teto faltando (Faltando)
Se isso não faz dinheiro, não faz sentido (Sentido)
Z (Z), acordo como se eu tivesse que ganhar (Ganhar)
E eu tenho um motor cheio de espaço no porta-malas
Eu ganho dinheiro de três maneiras, transo com vadias de três maneiras
Sete estrangeiros diferentes, além disso, ela não habla
Mas eu faço aquela vadia caminhar por um cheesecake (Cheesecake)
Yeah, eu sou o mano mais frio, gelado
Olhando no espelho como se eu quisesse ser eu mesmo
Ela também gosta de mim, eu gosto mais do dinheiro
Meu hobby é o corpo dela, essa buceta é o meu lobby
Eu vou comer (Comer), eu vou comer (Comer)
Eu não minto, seguro o meu pau, muito vaidoso
Uh, falei que ela é a minha esposa pelo fim de semana (Pelo fim de semana)
Mas não fique agindo como se eu precisasse de você

Porque nós aparecemos tipo ayo (Ha! Yeah)
Todas as minhas vadias tem cabelo de verdade relaxando com o teto pra baixo
Gritando tipo ayo
Eu vou pegar a bunda dela se ela trouxer a amiga
Fodendo as duas tipo ayo
Eu sou um mano burguês, deixei o teto em casa
Nós aparecemos tipo ayo
Ayo, nós aparecemos tipo ayo
Mas não fique agindo como se eu precisasse de você

Eu tô no Rolls, você não anda direito (Anda direita)
Minha corrente brilha mais forte do que uma luz estroboscópica (Yeah)
Eu tô tentando foder a Coco, isso não diz respeito ao Ice
Se eu for de barco, ela vai de moto (Ha!)
Um mano não se preocupa com nada
A reabilitação só me preocupou em foder
Dinheiro, tomada de decisões, só preocupado com a manobra
Ela se preocupou comigo, o mano dela se preocupa com a algema
Eu quero ver o corpo dela (Corpo)
Então ela disse: ""Fique dentro de mim
Eu quero sentir você, baby"" (Yeah)
Apenas traga o animal de dentro de mim
Nós amamos, ela ama isso
Especialmente quando eu enfio fundo nela
Agora nós fodemos, ela é bandida
Tá ficando alto

Porque nós aparecemos tipo ayo
Todas as minhas vadias tem cabelo de verdade relaxando com o teto pra baixo
Gritando tipo ayo
Eu vou pegar a bunda dela se ela trouxer a amiga
Fodendo as duas tipo ayo
Eu sou um mano burguês, deixei o teto em casa
Nós aparecemos tipo ayo
Ayo (Huh, se liga), nós aparecemos tipo ayo
Mas não fique agindo como se eu precisasse de você (Tudo bem)

Agora, agora eu posso localizar sua vadia a um quilômetro de distância ('tância)
Dia dos Namorados naquela buceta, é um feriado
Uh, você tá perdendo dinheiro, eu ganho milhões, Dr. J (J)
Ela vai seguir a minha liderança, Simon Says
Papel, papel, eu tô montando carros na Califórnia ('fórnia)
O carro tá com cheiro de amônia, ficamos com aquele fedor na gente
Nunca fui um Outkast, isso fedia em você
Do gueto, mas a minha vadia é tipo a Apollonia
Estamos na quebrada, tatuados tipo um Mexicano
Carro muito rápido, não dou a mínima para os pedestres
Uh, e na minha seção é menos manos, mais lésbicas
Peguei a sua vadia, eu sou aquele mano

Yeah, nós aparecemos tipo ayo (Ha! Yeah)
Todas as minhas vadias tem cabelo de verdade relaxando com o teto pra baixo (Yeah)
Gritando tipo ayo
Eu vou pegar a bunda dela se ela trouxer a amiga
Fodendo as duas tipo ayo
Eu sou um mano burguês, deixei o teto em casa
Nós aparecemos tipo ayo
Ayo, ayo
Mas não fique agindo como se eu precisasse de você

Yeah, essa merda voa (Eu preciso de voc)
Só coisa de rei
Conversível, sem teto, ha!
(Eu preciso de voc)",0.01,0.965,0.025,0.871
87,2015-01-01,Kick The Dust Up,Luke Bryan,"Kick the dust up, c'mon

All week long it’s a farmin’ town
They’re makin’ that money grow
Tractors, plows with flashing lights
Backin’ up a two lane road
They take one last lap around
That sun up high goes down
And then it's on, come on
Girl kick it on back
Z71 like a Cadillac

We go way out where
There ain’t nobody
We turn this cornfield
Into a party
Pedal to the floorboard
Eight up in a four door
Burnin’ up a back road song
Park it and we pile out
Baby, watch your step now
Better have your boots on
Kick the dust up
Back it on up
Fill your cup up
Let’s tear it up, up
And kick the dust up (kick the dust up...)

Bar downtown they got a line
Of people way out the door
$10 dollar drinks, it’s packed inside
I don’t know what they’re waitin for
Got me a jar full of clear
And I got that music for your ears
And it’s like knock, knock, knock goes the diesel
If you really wanna see the beautiful people

We go way out where
There ain’t nobody
We turn this cornfield
Into a party
Pedal to the floorboard
Eight up in a four door
Burnin’ up a back road song
Park it and we pile out
Baby, watch your step now
Better have your boots on
Kick the dust up
Let's back it on up
Fill your cup up
Let’s tear it up, up
And kick the dust up (c'mon)

Just follow me down ‘neath the 32 bridge
Y'all be glad you did (kick it)

We go way out where
There ain’t nobody
We turn this cornfield
Into a party
Pedal to the floorboard
Eight up in a four door
Burnin’ up a back road song
Park it and we pile out
Baby watch your step now
Better have your boots on
Kick the dust up
Back it on up
Fill your cup up
That’s what’s up, up
Let’s kick the dust up",0.0,0.909,0.091,0.9823
88,2015-01-01,Blessings,Big SeanFeaturingDrake,,,,,
89,2015-01-01,Budapest,George Ezra,"My house in Budapest, my
My hidden treasure chest
Golden grand piano
My beautiful castillo

You, ooh, you, ooh
I'd leave it all

My acres of a land
I have achieved
It may be hard for you to
Stop and believe

But for you, ooh, you, ooh
I'd leave it all
Oh, for you, ooh, you, ooh
I'd leave it all

And give me one good reason why I should never make a change
And, baby, if you hold me, then all of this will go away

My many artifacts
The list goes on
If you just say the words, I'll
I'll up and run

Oh, to you, ooh, you, ooh
I'd leave it all
Oh, for you, ooh, ooh
I'd leave it all

And give me one good reason why I should never make a change
And, baby, if you hold me, then all of this will go away
Give me one good reason why I should never make a change
And, baby, if you hold me, then all of this will go away

Ah-ooh
Ah-ooh

My friends and family, they don't understand
They fear they'll lose so much if you take my hand

But for you, ooh, you, ooh
I'd lose it all
Oh, for you, ooh, you, ooh
I'd lose it all

And give me one good reason why I should never make a change
And, baby, if you hold me, then all of this will go away
Give me one good reason why I should never make a change
And, baby, if you hold me, then all of this will go away

My house in Budapest, my
My hidden treasure chest
Golden grand piano
My beautiful castillo

You, ooh, you, ooh
I'd leave it all
Oh, for you, ooh, you, ooh
I'd leave it all",0.067,0.785,0.148,0.9882
90,2015-01-01,Chandelier,Sia,"Party girls don't get hurt
Can't feel anythin', when will I learn?
I push it down, I push it down
I'm the one for a good time call
Phone's blowin' up, ringin' my doorbell
I feel the love, I feel the love

One, two, three, one, two, three, drink
One, two, three, one, two, three, drink
One, two, three, one, two, three, drink
Throw 'em back 'til I lose count

I'm gonna swing
From the chandelier, from the chandelier
I'm gonna live
Like tomorrow doesn't exist, like it doesn't exist
I'm gonna fly
Like a bird through the night, feel my tears as they dry
I'm gonna swing
From the chandelier, from the chandelier

But I'm holdin' on for dear life
Won't look down, won't open my eyes
Keep my glass full until mornin' light
'Cause I'm just holdin' on for tonight
Help me, I'm holdin' on for dear life
Won't look down, won't open my eyes
Keep my glass full until mornin' light
'Cause I'm just holdin' on for tonight, on for tonight

Sun is up, I'm a mess
Gotta get out now, gotta run from this
Here comes the shame, here comes the shame
(Ah)

One, two, three, one, two, three, drink
One, two, three, one, two, three, drink
One, two, three, one, two, three, drink
Throw 'em back 'til I lose count

I'm gonna swing
From the chandelier, from the chandelier
I'm gonna live
Like tomorrow doesn't exist, like it doesn't exist
I'm gonna fly
Like a bird through the night, feel my tears as they dry
I'm gonna swing
From the chandelier, from the chandelier

But I'm holdin' on for dear life
Won't look down, won't open my eyes
Keep my glass full until mornin' light
'Cause I'm just holdin' on for tonight
Help me, I'm holdin' on for dear life
Won't look down, won't open my eyes
Keep my glass full until mornin' light
'Cause I'm just holdin' on for tonight, on for tonight

On for tonight
'Cause I'm just holdin' on for tonight
Oh, I'm just holdin' on for tonight
On for tonight, on for tonight
'Cause I'm just holdin' on for tonight
'Cause I'm just holdin' on for tonight
Oh, I'm just holdin' on for tonight
On for tonight, on for tonight",0.061,0.838,0.101,0.9395
91,2015-01-01,Heartbeat Song,Kelly Clarkson,"This is my heartbeat song and I'm gonna play it
Been so long, I forgot how to turn it
Up, up, up, up all night long
Oh, up, up all night long

You, where the hell did you come from?
You're a different, different kind of fun
And I'm so used to feeling numb
Now I've got pins and needles on my tongue
Anticipating what's to come
Like a finger on a loaded gun

I can feel it rising
Temperature inside me
Haven't felt it for a long time

This is my heartbeat song and I'm gonna play it
Been so long, I forgot how to turn it
Up, up, up, up all night long
Oh, up, up all night long
This is my heartbeat song and I'm gonna play it
Turned it on, but I know you can take it
Up, up, up, up all night long
Oh, up, up all night long (All night long)

I, I wasn't even gonna go out
But I never would've had a doubt
If I'd have known where I'd be now

Your hands on my hips
And my kiss on your lips
Oh, I could do this for a long time

This is my heartbeat song and I'm gonna play it
Been so long, I forgot how to turn it
Up, up, up, up all night long
Oh, up, up all night long
This is my heartbeat song and I'm gonna play it
Turned it on, but I know you can take it
Up, up, up, up all night long
Oh, up, up all night long, all night long

Until tonight, I only dreamed about you
I can't believe I've ever breathed without you
Baby, you make me feel alive and brand new
Bring it one more time (One more time)

This is my heartbeat song and I'm gonna play it
Been so long, I forgot how to turn it
Up, up, up, up all night long
Oh, up, up all night long
This is my heartbeat song and I'm gonna play it
Turned it on, but I know you can take it
Up, up, up, up all night long
Oh, up, up all night long, all night long
This is my heartbeat song and I'm gonna play it
Been so long, I forgot how to turn it
Up, up, up, up all night long
Oh, up, up all night long
This is my heartbeat song and I'm gonna play it
Turned it on, but I know you can take it
Up, up, up, up all night long
Oh, up, up all night long",0.014,0.898,0.088,0.9825
92,2015-01-01,Don't,Ed Sheeran,"I met this girl late last year
She said, ""Don't you worry if I disappear""
I told her, ""I'm not really looking for another mistake""
I called an old friend thinking that the trouble would wait
But then I jumped right in a week later, returned
I reckon she was only lookin' for a lover to burn
But I gave her my time for two or three nights
Then I put it on pause until the moment was right
I went away for months until our paths crossed again
She told me, ""I was never looking for a friend
Maybe you could swing by my room around 10
Baby, bring the lemon and a bottle of gin
We'll be in between the sheets till the late AM""
Baby, if you wanted me then you should have just said, she's singin'

Don't **** with my love
That heart is so cold
All over my home
I don't wanna know that, babe
Don't **** with my love
I told her, she knows
Take aim and reload
I don't wanna know that, babe

And for a couple weeks, I only wanna see her
We drink away the days with a takeaway pizza
Before, a text message was the only way to reach her
Now she's stayin' at my place and loves the way I treat her
Singing out Aretha all over the track like a feature
And never wants to sleep, I guess that I don't want to either
But me and her, we make money the same way
Four cities, two planes, the same day
And those shows have never been what it's about
But maybe we'll go together and just figure it out
I'd rather put on a film with you and sit on a couch
But we should get on a plane or we'll be missin' it now
Wish I'd have written it down, the way that things played out
When she was kissin' him, how I was confused about
Now, she should figure it out while I'm sat here singing

Don't **** with my love
That heart is so cold
All over my home
I don't wanna know that, babe
Don't **** with my love
I told her, she knows
Take aim and reload
I don't wanna know that, babe

On my hotel door
I don't even know if she knows what for
She was cryin' on my shoulder, I already told ya
Trust and respect is what we do this for
I never intended to be next (
Get lost
)
But you didn't need to take him to bed, that's all
And I never saw him as a threat (
Get lost
)
Until you disappeared with him to have sex, of course
It's not like we were both on tour
We were stayin' on the same **** hotel floor
And I wasn't lookin' for a promise or commitment
But it was never just fun and I thought you were different
This is not the way you realised what you wanted
It's a bit too much, too late, if I'm honest
And all this time, God knows I'm singin'

Don't **** with my love
That heart is so cold
All over my home
I don't wanna know that, babe
Don't **** with my love
I told her, she knows
Take aim and reload
I don't wanna know that, babe
Don't **** with my love
That heart is so cold
All over my home
I don't wanna know that, babe
Don't **** with my love
I told her, she knows
Take aim and reload
I don't wanna know that, babe",0.043,0.799,0.157,0.998
93,2015-01-01,Ghost,Ella Henderson,"I keep going to the river to pray
'Cause I need something that can wash out the pain
And at most, I'm sleeping all these demons away
But your ghost, the ghost of you
It keeps me awake

My friends had you figured out
Yeah, they saw what's inside of you
You tried hiding another you
But your evil was coming through
These eyes sitting on the wall
They watch every move I make
Bright light living in the shade
Your cold heart makes my spirit shake (Ooo-ohh)

I had to go through hell to prove I'm not insane
Had to meet the devil just to know his name
And that's when my love was burning
Yeah, it's still burning!

I keep going to the river to pray
'Cause I need something that can wash out the pain
And at most, I'm sleeping all these demons away
But your ghost, the ghost of you
It keeps me awake
I keep going to the river to pray
'Cause I need something that can wash out the pain
And at most, I'm sleeping all these demons away
But your ghost, the ghost of you
It keeps me awake

Each time that I think you go
I turn around and you're creeping in
And I let you under my skin
Guess I love living in the sin
Oh, you never told me
True love was gonna hurt
True pain I don't deserve
Truth is that I never learned (Ooo-ohh)

I keep going to the river to pray (Ooh, yeah)
'Cause I need something that can wash out the pain (Oh, oh)
And at most, I'm sleeping all these demons away (Oh)
But your ghost, the ghost of you (Oh, oh, oh, oh, oh)
It keeps me awake
I keep going to the river to pray
'Cause I need something that can wash out the pain
And at most, I'm sleeping all these demons away
But your ghost, the ghost of you
It keeps me awake

Give up the ghost, give up the ghost
Give up the ghost, stop the haunting, baby
Give up the ghost, give up the ghost
Give up the ghost, no more haunting, baby
I keep going to the river

I keep going to the river to pray (Ooh, yeah)
'Cause I need something that can wash out the pain (Oh, yeah)
And at most, I'm sleeping all these demons away
But your ghost, the ghost of you (Your ghost, oh, oh, whoa)
It keeps me awake
I keep going to the river to pray (I keep going, oh, yeah)
'Cause I need something that can wash out the pain (Ooh)
And at most, I'm sleeping all these demons away
But your ghost, the ghost of you (Ooh, ghost)
It keeps me awake",0.253,0.652,0.095,-0.9983
94,2015-01-01,Here,Alessia Cara,"I guess right now you've got the last laugh

I'm sorry if I seem uninterested
Or I'm not listenin' or I'm indifferent
Truly I ain't got no business here
But since my friends are here, I just came to kick it
But really, I would rather be at home all by myself
Not in this room with people who don't even care about my well-being
I don't dance, don't ask, I don't need a boyfriend
So, you can go back, please, enjoy your party
I'll be here, somewhere in the corner
Under clouds of marijuana with this boy who's hollerin'
I can hardly hear over this music I don't listen to
And I don't wanna get with you, so tell my friends that I'll be over here

Oh-oh-oh, here, oh-oh-oh, here
Oh-oh-oh, I ask myself, what am I doin' here?
Oh-oh-oh, here, oh-oh-oh, here
And I can't wait 'til we can break up out of here

Excuse me if I seem a little unimpressed with this
An anti-social pessimist, but usually I don't mess with this
And I know you mean only the best
And your intentions aren't to bother me, but honestly, I'd rather be
Somewhere with my people, we can kick it and just listen to
Some music with a message, like we usually do
And we'll discuss our big dreams, how we plan to take over the planet
So, pardon my manners, I hope you'll understand that I'll be here
Not there in the kitchen
With the girl who's always gossipin' about her friends
So, tell them I'll be here
Right next to the boy who's throwin' up
'Cause he can't take what's in his cup no more
Oh God, why am I here?

Oh-oh-oh, here, oh-oh-oh, here
Oh-oh-oh, I ask myself, what am I doin' here?
Oh-oh-oh, here, oh-oh-oh, here
And I can't wait 'til we can break up out of here

Hours later, congregatin' next to the refrigerator
Some girl talkin' 'bout her haters, she ain't got none
How did it ever come to this? I should've never come to this
So holla at me, I'll be in the car when you're done
I'm stand-offish, don't want what you're offerin'
And I'm done talkin', awfully sad it had to be that way
So tell my people when they're ready that I'm ready
And I'm standin' by the TV with my beanie low
Yo, I'll be over here

Oh-oh-oh, here, oh-oh-oh, here
Oh-oh-oh, I ask myself, what am I doin' here?
Oh-oh-oh, here, oh-oh-oh, here
And I can't wait till we can break up out of here",0.053,0.793,0.154,0.9938
95,2015-01-01,Waves,Mr. Probz,"My face above the water
My feet can't touch the ground
Touch the ground, and it feels like
I can see the sands on the horizon
Everytime you are not around

I'm slowly drifting away (drifting away)
Wave after wave, wave after wave
I'm slowly drifting (drifting away)
And it feels like I'm drowning
Pulling against the stream
Pulling against the stream

I wish I could make it easy
Easy to love me, love me
But still I reach, to find a way
I'm stuck here in between
I'm looking for the right words to say

I'm slowly drifting, drifting away
Wave after wave, wave after wave
I'm slowly drifting (drifting away)
And it feels like I'm drowning
Pulling against the stream
Pulling against the stream",0.019,0.839,0.142,0.9072
96,2015-01-01,El Perdon (Forgiveness),Nicky Jam&Enrique Iglesias,,,,,
97,2015-01-01,She Knows,Ne-YoFeaturingJuicy J,,,,,
98,2015-01-01,Night Changes,One Direction,"Goin' out tonight, changes into somethin' red
Her mother doesn't like that kind of dress
Everything she never had, she's showin' off
Drivin' too fast, moon is breakin' through her hair
She's headin' for somethin' that she won't forget
Havin' no regrets is all that she really wants

(Ooh) 
We're only gettin' older, baby
(Ooh) 
And I've been thinkin' about it lately
(Ooh) 
Does it ever drive you crazy
(Ah-ah-ah) 
Just how fast the night changes?
(Ooh) 
Everything that you've ever dreamed of
(Ooh) 
Disappearin' when you wake up
(Ooh) 
But there's nothin' to be afraid of
(Ah-ah-ah) 
Even when the night changes
(Ooh) 
It will never change me and you

Chasin' her tonight, doubts are runnin' round her head
He's waitin', hides behind a cigarette
Heart is beatin' loud and she doesn't want it to stop
Movin' too fast, moon is lightin' up her skin
She's fallin', 
doesn't even know it yet
Havin' no regrets is all that she really wants

(Ooh) We're only gettin' older, baby
(Ooh) And I've been thinkin' about it lately
(Ooh) Does it ever drive you crazy
(Ah-ah-ah) Just how fast the night changes?
(Ooh) Everything that you've ever dreamed of
(Ooh) Disappearin' when you wake up
(Ooh) But there's nothin' to be afraid of
(Ah-ah-ah) Even when the night changes
(Ooh) It will never change me and you

Ooh, ooh, ooh, ooh
Ooh, ooh, ooh
Ooh

Goin' out tonight, changes into somethin' red
Her mother doesn't like that kind of dress
Reminds her of the missin' piece of innocence she lost

(Ooh) We're only gettin' older, baby
(Ooh) And I've been thinkin' about it lately
(Ooh) 
Does it ever drive you crazy
(Ah-ah-ah) 
Just how fast the night changes?
(Ooh) 
Everything that you've ever dreamed of
(Ooh) 
Disappearin' when you wake up
(Ooh) 
But there's nothin' to be afraid of
(Ah-ah-ah) 
Even when the night changes
(Ooh) 
It will never change, baby
(Ooh) It will never change, baby
(Ooh) It will never change me and you",0.084,0.892,0.024,-0.9589
99,2015-01-01,Back To Back,Drake,"Oh man
Oh man, oh man
Not again

Yeah
I learned the game from William Wesley, you can never check me
Back to back for the niggas that didn't get the message
Back to back, like I'm on the cover of Lethal Weapon
Back to back, like I'm Jordan '96, '97
Woah—very important and very pretentious
When I look back, I might be mad that I gave this attention
Yeah, but it's weighin' heavy on my conscience
Yeah, and fuck, you left The Boy no options
I wanna see my niggas go insane
You gon' make me step out of my fuckin' frame
You gon' make me buy bottles for Charlamagne
You gon' make me go out of my fuckin' way
I waited four days, nigga, where y'all at?
I drove here in the Wraith, playin' AR-AB
I'm not sure what it was that really made y'all mad
But I guess this is what I gotta do to make y'all rap
I mean woah, can't fool the city, man, they know what's up
Second floor at Tootsies, gettin' shoulder rubs
This for y'all that think that I don't write enough
They just mad 'cause I got the Midas touch
You love her, then you gotta give the world to her
Is that a world tour or your girl's tour?
I know that you gotta be a thug for her
This ain't what she meant when she told you to open up more
Yeah, trigger fingers turn to Twitter fingers
Yeah, you gettin' bodied by a singin' nigga
I'm not the type of nigga that'll type to niggas
And shout to all my boss bitches wifin' niggas
Make sure you hit him with the prenup
Then tell that man to ease up
I did another one, I did another one
You still ain't did shit about the other one

I got the drink in me, going back to back
Yeah, going back to back
I got the drink in me, going back to back
Yeah, I'm going back to back

I don't wanna hear about this ever again
Not even when she tell him that they better as friends
Not even when you saying, ""Drizzy, tell 'em again!""
I been puttin' on a show, it was a sell-out event
Oh, you need better seatin'
I didn't wanna do it, gave me every reason
The point I'm tryin' to make is I don't ever need 'em
Seen what you'd do for fame, what would you do for freedom?
Please, check 'em for a wire or a earpiece
Please, please do not let these niggas near me
Please, think before you come for the great one
Please, who's a real nigga and who ain't one?
Please, somebody stop me
I'm talkin' boasy and gwanin wassy
I got the fest in five days and it's my shit
Soon as a nigga hit the stage, they gon'
They gon' ask if I can play this shit back to back
Yeah, they want it back to back
They gon' ask if I can play this shit back to back
I took a break from 
Views
, now it's back to that, nigga (Six)",0.113,0.742,0.145,0.9775
100,2015-01-01,How Deep Is Your Love,Calvin Harris& Disciples,"I want you to breathe me
Let me be your air
Let me roam your body freely
No inhibition, no fear

How deep is your love?
Is it like the ocean?
What devotion are you?
How deep is your love?
Is it like nirvana?
Hit me harder again
How deep is your love?
How deep is your love?
How deep is your love?
Is it like the ocean?
Pull me closer again
How deep is your love?
(How deep is your?)
Hit me harder

Open up my eyes again
Tell me who I am (Mm)
Let me in on all your secrets
No inhibition, no sin

How deep is your love?
Is it like the ocean?
What devotion are you?
How deep is your love?
Is it like nirvana?
Hit me harder again
How deep is your love?
How deep is your love?
How deep is your love?
Is it like the ocean?
Pull me closer again
How deep is your love?
(How deep is your?)",0.089,0.58,0.331,0.9958
